Sample DMT-915-170206-MOSAIC.  Wed Feb 08 10:34:38 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,6.674,,,,,mean:,4.475,,,,,mean:,2.198,,,,,mean:,0.315
mode:,6.650,,,,,mode:,4.050,,,,,mode:,0.350,,,,,mode:,0.240
s.d.:,1.408,,,,,s.d.:,1.253,,,,,s.d.:,1.459,,,,,s.d.:,0.173

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
7.500, 21136708, 20305752, 2.144694981896815, 75.66307578631572,,7.500, 2252451, 1791899, 0.18926028514701998, 98.20399440988663 ,,7.500, 362410, 360871, 0.03811517741187051, 99.69262693039762 ,,0.293, 10079308, 7322420, 0.7733936431141013, 49.625075472584484 ,,
7.600, 19934898, 19172284, 2.024978010481985, 77.6880537967977,,7.600, 2031645, 1616656, 0.17075112801817552, 98.37474553790481 ,,7.600, 328624, 327175, 0.03455620753601352, 99.72718313793364 ,,0.297, 9940396, 7302373, 0.7712762799522629, 50.396351752536745 ,,
7.700, 18734414, 18036122, 1.904976498594031, 79.59303029539173,,7.700, 1838674, 1460266, 0.15423322383153196, 98.52897876173634 ,,7.700, 296149, 294841, 0.03114109203369989, 99.75832422996734 ,,0.301, 9811425, 7276861, 0.7685817037570806, 51.16493345629383 ,,
7.800, 17568729, 16929232, 1.7880666974444963, 81.38109699283623,,7.800, 1665678, 1319909, 0.13940872432437207, 98.66838748606071 ,,7.800, 267245, 266105, 0.028105997115827543, 99.78643022708317 ,,0.305, 9679848, 7251058, 0.7658563921560971, 51.930789848449926 ,,
7.900, 16403234, 15823990, 1.6713309581731017, 83.05242795100934,,7.900, 1509796, 1193887, 0.1260982868193577, 98.79448577288007 ,,7.900, 241323, 240354, 0.025386177752306845, 99.81181640483548 ,,0.309, 9556032, 7224474, 0.7630485913732213, 52.693838439823146 ,,
8.000, 15287059, 14764106, 1.5593859341132825, 84.61181388512261,,8.000, 1369486, 1084710, 0.11456701739429735, 98.90905279027437 ,,8.000, 217458, 216585, 0.022875697132077596, 99.83469210196755 ,,0.312, 9432843, 7195950, 0.7600358878850049, 53.45387432770815 ,,
8.100, 14204212, 13731020, 1.4502713167345294, 86.06208520185714,,8.100, 1234214, 980589, 0.10356976244310151, 99.01262255271747 ,,8.100, 196450, 195686, 0.020668345771811234, 99.85536044773937 ,,0.316, 9319822, 7169562, 0.7572487886125655, 54.211123116320714 ,,
8.200, 13162429, 12728166, 1.344349805363015, 87.40643500722015,,8.200, 1112352, 889070, 0.09390353011841686, 99.10652608283588 ,,8.200, 175663, 174952, 0.01847842170349396, 99.87383886944286 ,,0.320, 9198907, 7132499, 0.753334196360996, 54.96445731268171 ,,
8.300, 12168666, 11774251, 1.243597234679787, 88.65003224189995,,8.300, 1009919, 807482, 0.08528620953027262, 99.19181229236617 ,,8.300, 158306, 157710, 0.01665732250479007, 99.89049619194765 ,,0.324, 9089070, 7103715, 0.7502940316854657, 55.71475134436718 ,,
8.400, 11206450, 10851348, 1.1461201536597136, 89.79615239555966,,8.400, 916753, 733749, 0.07749853365973236, 99.26931082602589 ,,8.400, 141552, 141032, 0.014895792958566694, 99.90539198490622 ,,0.328, 8971163, 7064291, 0.7461300707290974, 56.460881415096274 ,,
