Sample DMT-916-170112-MOSAIC.  Mon Jan 16 12:51:21 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.602,,,,,mean:,4.229,,,,,mean:,3.373,,,,,mean:,0.430
mode:,7.550,,,,,mode:,3.550,,,,,mode:,2.950,,,,,mode:,0.537
s.d.:,1.431,,,,,s.d.:,1.442,,,,,s.d.:,1.801,,,,,s.d.:,0.192

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
4.100, 8558268, 0, 0.0, 0.0,,4.100, 36179360, 33897736, 2.6885156074594736, 54.00894748737776 ,,4.100, 22216527, 22122329, 1.754578094669373, 67.70808779327717 ,,0.160, 48096205, 5155891, 0.40892680906711804, 11.297024418603513 ,,
4.200, 8382402, 0, 0.0, 0.0,,4.200, 35126329, 33430554, 2.6514622155006675, 56.660409702878425 ,,4.200, 21737267, 21648278, 1.716979905963468, 69.42506769924064 ,,0.164, 43926489, 5191735, 0.41176968773623684, 11.70879410633975 ,,
4.300, 8212538, 0, 0.0, 0.0,,4.300, 33877458, 32550309, 2.5816477470391703, 59.242057449917596 ,,4.300, 21232444, 21148200, 1.6773174497896146, 71.10238514903025 ,,0.168, 40179655, 5232811, 0.41502752961249856, 12.123821635952249 ,,
4.400, 8150160, 0, 0.0, 0.0,,4.400, 32870588, 31671815, 2.511972154838573, 61.75402960475617 ,,4.400, 20688265, 20608967, 1.6345495111280546, 72.73693466015831 ,,0.172, 36856366, 5270128, 0.41798723565243573, 12.541808871604685 ,,
4.500, 8122343, 6484988, 0.5143411155262996, 0.5143411155262996,,4.500, 31771549, 30663660, 2.4320128191402155, 64.18604242389638 ,,4.500, 20127172, 20051869, 1.5903646539466918, 74.327299314105 ,,0.176, 33895395, 5310169, 0.42116298905022026, 12.962971860654905 ,,
4.600, 8155727, 6663540, 0.5285025349243696, 1.0428436504506693,,4.600, 30798218, 29766372, 2.3608466270267923, 66.54688905092318 ,,4.600, 19541087, 19469926, 1.5442092767191775, 75.87150859082418 ,,0.180, 31273799, 5353473, 0.4245975392646919, 13.387569399919597 ,,
4.700, 8260086, 6887315, 0.5462507070299923, 1.5890943574806615,,4.700, 29864005, 28907579, 2.2927335712145416, 68.83962262213772 ,,4.700, 18930829, 18863915, 1.4961450052887744, 77.36765359611294 ,,0.184, 28951394, 5391389, 0.42760475351584437, 13.815174153435441 ,,
4.800, 8462481, 7188512, 0.5701394175369624, 2.159233775017624,,4.800, 29020855, 28129900, 2.231053872927509, 71.07067649506523 ,,4.800, 18311373, 18248357, 1.4473235370428907, 78.81497713315584 ,,0.188, 26910903, 5437984, 0.43130032129811174, 14.246474474733553 ,,
4.900, 8774394, 7586062, 0.6016701328563246, 2.760903907873949,,4.900, 28380641, 27548113, 2.184910867102075, 73.2555873621673 ,,4.900, 17665193, 17605970, 1.396374192672306, 80.21135132582815 ,,0.191, 25091908, 5483926, 0.4349440979920259, 14.681418572725578 ,,
5.000, 9197799, 8088856, 0.6415480211176338, 3.4024519289915824,,5.000, 27869213, 27095449, 2.149008934626849, 75.40459629679415 ,,5.000, 17007877, 16952208, 1.3445226681638676, 81.55587399399201 ,,0.195, 23486553, 5527177, 0.4383744446418992, 15.119793017367478 ,,
5.100, 9785356, 8743475, 0.6934675415091457, 4.0959194705007285,,5.100, 27410636, 26699361, 2.117594188523233, 77.52219048531738 ,,5.100, 16342949, 16290488, 1.2920399744653597, 82.84791396845738 ,,0.199, 22045185, 5569381, 0.44172175106282013, 15.561514768430298 ,,
5.200, 10583122, 9597955, 0.7612385530198705, 4.857158023520599,,5.200, 26794633, 26139792, 2.0732133487541553, 79.59540383407155 ,,5.200, 15672257, 15622709, 1.2390767260894666, 84.08699069454684 ,,0.203, 20778357, 5616988, 0.44549758313515414, 16.007012351565454 ,,
5.300, 11679454, 10751445, 0.8527248184298345, 5.709882841950433,,5.300, 25548301, 24945512, 1.9784919661911224, 81.57389580026266 ,,5.300, 14993039, 14946992, 1.185483894774296, 85.27247458932113 ,,0.207, 19664237, 5669972, 0.4496998787328718, 16.456712230298322 ,,
5.400, 13199236, 12324545, 0.9774914346262595, 6.687374276576692,,5.400, 23659071, 23107780, 1.8327367699052195, 83.40663257016789 ,,5.400, 14313775, 14271479, 1.1319072432172024, 86.40438183253833 ,,0.211, 18651873, 5716187, 0.4533653077500944, 16.91007753804842 ,,
5.500, 15218457, 14392937, 1.1415409361250555, 7.828915212701748,,5.500, 21393804, 20889198, 1.6567753920294626, 85.06340796219735 ,,5.500, 13627333, 13587682, 1.0776735665821322, 87.48205539912047 ,,0.215, 17747012, 5762599, 0.45704636133761656, 17.367123899386034 ,,
5.600, 17653860, 16870400, 1.3380349131524814, 9.16695012585423,,5.600, 18997793, 18533844, 1.4699662791703587, 86.53337424136771 ,,5.600, 12949600, 12912420, 1.024116822472476, 88.50617222159295 ,,0.219, 16948757, 5817454, 0.46139705069691, 17.828520950082943 ,,
5.700, 19953520, 19209978, 1.5235928753847614, 10.690543001238991,,5.700, 16644861, 16214459, 1.28600995913154, 87.81938420049924 ,,5.700, 12272714, 12238462, 0.9706635019144468, 89.47683572350739 ,,0.223, 16219881, 5861756, 0.464910754825894, 18.293431704908837 ,,
5.800, 21962195, 21262176, 1.6863579889980542, 12.376900990237045,,5.800, 14498755, 14101262, 1.1184069334859175, 88.93779113398516 ,,5.800, 11604213, 11572561, 0.9178492024879068, 90.3946849259953 ,,0.227, 15566904, 5909054, 0.46866207932349424, 18.762093784232334 ,,
5.900, 23463194, 22802396, 1.808516807635177, 14.185417797872223,,5.900, 12686935, 12322096, 0.9772967555300434, 89.9150878895152 ,,5.900, 10945287, 10915979, 0.8657740166178203, 91.26045894261313 ,,0.230, 14982864, 5964063, 0.4730249828138848, 19.235118767046217 ,,
6.000, 24573346, 23945522, 1.8991810774884315, 16.084598875360655,,6.000, 11184190, 10846316, 0.8602488924168095, 90.77533678193201 ,,6.000, 10290098, 10262774, 0.8139666691939343, 92.07442561180706 ,,0.234, 14444540, 6007623, 0.47647983703849184, 19.71159860408471 ,,
