Sample DMT-917-170109-MOSAIC.  Wed Jan 11 14:56:24 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,8.263,,,,,mean:,4.140,,,,,mean:,4.123,,,,,mean:,0.482
mode:,7.950,,,,,mode:,2.250,,,,,mode:,3.150,,,,,mode:,0.650
s.d.:,1.975,,,,,s.d.:,1.900,,,,,s.d.:,2.325,,,,,s.d.:,0.219

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
7.200, 18938890, 18716629, 1.6672209586240565, 34.566644451726646,,7.200, 3886625, 3841953, 0.3422296057505104, 93.59369731416211 ,,7.200, 8194097, 8175371, 0.7282374339806229, 89.36598876634234 ,,0.281, 11334086, 4612534, 0.4109297733285583, 22.500610463416866 ,,
7.300, 19062079, 18852129, 1.6792908906558108, 36.24593534238246,,7.300, 3672316, 3630937, 0.32343293580502963, 93.91713024996714 ,,7.300, 7878820, 7861094, 0.7002425850570537, 90.0662313513994 ,,0.285, 11097256, 4644911, 0.4138142340763942, 22.91442469749326 ,,
7.400, 19146452, 18948314, 1.687858760858573, 37.93379410324103,,7.400, 3472253, 3433292, 0.3058273142816639, 94.2229575642488 ,,7.400, 7563326, 7546804, 0.6722465781326256, 90.73847792953202 ,,0.289, 10871452, 4672731, 0.4162927125643578, 23.330717410057616 ,,
7.500, 19214245, 19025783, 1.6947594661321372, 39.62855356937317,,7.500, 3294332, 3257236, 0.29014477587736487, 94.51310234012617 ,,7.500, 7250112, 7234578, 0.6444344261138323, 91.38291235564586 ,,0.293, 10657041, 4701105, 0.41882054680653885, 23.749537956864156 ,,
7.600, 19258221, 19078860, 1.6994874054860074, 41.32804097485918,,7.600, 3125341, 3089981, 0.2752462040547003, 94.78834854418088 ,,7.600, 6943841, 6929062, 0.617219980692331, 92.00013233633818 ,,0.297, 10452210, 4729553, 0.4213549736945902, 24.170892930558747 ,,
7.700, 19280135, 19111049, 1.7023547046902152, 43.03039567954939,,7.700, 2973654, 2941294, 0.2620016137668373, 95.0503501579477 ,,7.700, 6632877, 6619145, 0.589613507441518, 92.5897458437797 ,,0.301, 10273925, 4764513, 0.42446955341922016, 24.595362483977965 ,,
7.800, 19299230, 19139876, 1.7049225270568527, 44.735318206606244,,7.800, 2827495, 2798823, 0.24931072604361917, 95.29966088399132 ,,7.800, 6329216, 6316373, 0.5626434892782833, 93.15238933305798 ,,0.305, 10083395, 4783206, 0.4261349092199212, 25.021497393197887 ,,
7.900, 19294436, 19144558, 1.7053395855201197, 46.44065779212636,,7.900, 2693604, 2668613, 0.23771201128454378, 95.53737289527588 ,,7.900, 6031320, 6019016, 0.5361558230113732, 93.68854515606935 ,,0.309, 9920836, 4817273, 0.42916993174506335, 25.450667324942952 ,,
8.000, 19260943, 19119209, 1.7030815729217954, 48.143739365048155,,8.000, 2565097, 2542437, 0.22647263309975693, 95.76384552837563 ,,8.000, 5726553, 5715268, 0.5090988657067143, 94.19764402177607 ,,0.312, 9775930, 4852708, 0.43232682912899534, 25.882994154071945 ,,
8.100, 19266894, 19132252, 1.7042434040914645, 49.84798276913962,,8.100, 2449426, 2428032, 0.21628178015442232, 95.98012730853006 ,,8.100, 5434293, 5423801, 0.48313586290598143, 94.68077988468205 ,,0.316, 9620265, 4879265, 0.43469278718812, 26.317686941260067 ,,
